id,emp_id,processed_by,processed_at,requested_at,start_date,end_date,reason,approval_status
41,1295,00000000-0000-0000-0000-000000000000,2026-02-02,2026-02-02,2026-02-10,2026-02-19,Annual,1
42,478,00000000-0000-0000-0000-000000000000,2025-04-01,2025-04-01,2025-04-13,2025-04-19,Annual,0
43,317,00000000-0000-0000-0000-000000000000,2025-06-30,2025-06-30,2025-07-07,2025-07-07,Sick,1
44,644,00000000-0000-0000-0000-000000000000,2025-06-13,2025-06-13,2025-06-17,2025-06-19,Sick,1
45,1385,00000000-0000-0000-0000-000000000000,2025-11-28,2025-11-28,2025-12-11,2025-12-12,Sick,1
46,806,00000000-0000-0000-0000-000000000000,2025-02-18,2025-02-18,2025-02-23,2025-03-01,Unpaid,1
47,713,00000000-0000-0000-0000-000000000000,2025-06-21,2025-06-21,2025-06-25,2025-06-25,Annual,1
48,1281,00000000-0000-0000-0000-000000000000,2025-08-23,2025-08-23,2025-08-28,2025-09-02,Annual,1
49,1186,00000000-0000-0000-0000-000000000000,2025-11-13,2025-11-13,2025-11-22,2025-11-22,Maternity/Paternity,1
50,777,00000000-0000-0000-0000-000000000000,2025-05-15,2025-05-15,2025-05-20,2025-05-26,Sick,1
51,871,00000000-0000-0000-0000-000000000000,2025-06-15,2025-06-15,2025-06-20,2025-06-24,Annual,1
52,969,00000000-0000-0000-0000-000000000000,2025-06-26,2025-06-26,2025-07-07,2025-07-13,Annual,1
53,320,00000000-0000-0000-0000-000000000000,2025-10-21,2025-10-21,2025-10-25,2025-10-30,Sick,1
54,1217,00000000-0000-0000-0000-000000000000,2025-07-18,2025-07-18,2025-07-31,2025-08-01,Annual,1
55,1147,00000000-0000-0000-0000-000000000000,2025-02-27,2025-02-27,2025-03-09,2025-03-15,Sick,1
56,245,00000000-0000-0000-0000-000000000000,2025-10-14,2025-10-14,2025-10-22,2025-10-25,Annual,1
57,762,00000000-0000-0000-0000-000000000000,2025-04-24,2025-04-24,2025-05-06,2025-05-10,Annual,1
58,705,00000000-0000-0000-0000-000000000000,2025-01-25,2025-01-25,2025-02-07,2025-02-13,Annual,0
59,787,00000000-0000-0000-0000-000000000000,2026-03-01,2026-03-01,2026-03-14,2026-03-21,Annual,1
60,355,00000000-0000-0000-0000-000000000000,2025-05-30,2025-05-30,2025-06-12,2025-06-20,Sick,1
61,330,00000000-0000-0000-0000-000000000000,2026-02-08,2026-02-08,2026-02-22,2026-02-27,Annual,2
62,262,00000000-0000-0000-0000-000000000000,2025-04-21,2025-04-21,2025-04-28,2025-04-30,Sick,1
63,1456,00000000-0000-0000-0000-000000000000,2026-01-11,2026-01-11,2026-01-23,2026-01-25,Annual,1
64,819,00000000-0000-0000-0000-000000000000,2026-02-20,2026-02-20,2026-02-28,2026-03-08,Annual,1
65,1360,00000000-0000-0000-0000-000000000000,2026-03-21,2026-03-21,2026-04-04,2026-04-09,Annual,1
66,652,00000000-0000-0000-0000-000000000000,2025-03-05,2025-03-05,2025-03-08,2025-03-13,Annual,0
67,506,00000000-0000-0000-0000-000000000000,2025-06-03,2025-06-03,2025-06-10,2025-06-12,Annual,1
68,450,00000000-0000-0000-0000-000000000000,2026-01-10,2026-01-10,2026-01-24,2026-01-25,Annual,1
69,1372,00000000-0000-0000-0000-000000000000,2025-05-18,2025-05-18,2025-05-23,2025-06-01,Sick,1
70,115,00000000-0000-0000-0000-000000000000,2025-09-09,2025-09-09,2025-09-18,2025-09-18,Annual,1
71,923,00000000-0000-0000-0000-000000000000,2026-01-22,2026-01-22,2026-02-03,2026-02-11,Annual,1
72,1435,00000000-0000-0000-0000-000000000000,2025-10-27,2025-10-27,2025-11-07,2025-11-12,Annual,1
73,959,00000000-0000-0000-0000-000000000000,2025-02-20,2025-02-20,2025-03-06,2025-03-14,Maternity/Paternity,1
74,992,00000000-0000-0000-0000-000000000000,2025-06-19,2025-06-19,2025-07-01,2025-07-05,Annual,1
75,1042,00000000-0000-0000-0000-000000000000,2025-01-25,2025-01-25,2025-01-29,2025-01-30,Unpaid,1
76,1294,00000000-0000-0000-0000-000000000000,2025-04-05,2025-04-05,2025-04-16,2025-04-18,Annual,1
77,1005,00000000-0000-0000-0000-000000000000,2025-03-06,2025-03-06,2025-03-20,2025-03-27,Sick,0
78,273,00000000-0000-0000-0000-000000000000,2025-04-25,2025-04-25,2025-05-06,2025-05-09,Annual,1
79,304,00000000-0000-0000-0000-000000000000,2025-10-09,2025-10-09,2025-10-11,2025-10-16,Unpaid,1
80,48,00000000-0000-0000-0000-000000000000,2025-08-31,2025-08-31,2025-09-11,2025-09-20,Annual,1
81,1194,00000000-0000-0000-0000-000000000000,2026-02-03,2026-02-03,2026-02-08,2026-02-08,Sick,1
82,36,00000000-0000-0000-0000-000000000000,2025-03-18,2025-03-18,2025-04-01,2025-04-03,Annual,1
83,504,00000000-0000-0000-0000-000000000000,2025-06-25,2025-06-25,2025-06-29,2025-07-04,Annual,1
84,410,00000000-0000-0000-0000-000000000000,2025-05-03,2025-05-03,2025-05-12,2025-05-12,Annual,1
85,423,00000000-0000-0000-0000-000000000000,2025-11-04,2025-11-04,2025-11-07,2025-11-12,Annual,1
86,100,00000000-0000-0000-0000-000000000000,2025-04-02,2025-04-02,2025-04-13,2025-04-22,Sick,1
87,493,00000000-0000-0000-0000-000000000000,2025-08-27,2025-08-27,2025-09-10,2025-09-19,Annual,1
88,317,00000000-0000-0000-0000-000000000000,2025-05-10,2025-05-10,2025-05-13,2025-05-19,Annual,1
89,1457,00000000-0000-0000-0000-000000000000,2025-06-02,2025-06-02,2025-06-14,2025-06-15,Annual,1
90,499,00000000-0000-0000-0000-000000000000,2025-11-26,2025-11-26,2025-12-10,2025-12-10,Annual,1
91,236,00000000-0000-0000-0000-000000000000,2025-08-13,2025-08-13,2025-08-27,2025-08-28,Sick,1
92,50,00000000-0000-0000-0000-000000000000,2025-10-16,2025-10-16,2025-10-30,2025-11-03,Sick,1
93,165,00000000-0000-0000-0000-000000000000,2026-03-08,2026-03-08,2026-03-12,2026-03-15,Maternity/Paternity,1
94,565,00000000-0000-0000-0000-000000000000,2026-01-03,2026-01-03,2026-01-09,2026-01-17,Annual,1
95,339,00000000-0000-0000-0000-000000000000,2025-11-15,2025-11-15,2025-11-18,2025-11-18,Annual,1
96,447,00000000-0000-0000-0000-000000000000,2025-09-19,2025-09-19,2025-10-01,2025-10-01,Annual,1
97,282,00000000-0000-0000-0000-000000000000,2025-07-28,2025-07-28,2025-08-04,2025-08-07,Annual,1
98,337,00000000-0000-0000-0000-000000000000,2025-12-13,2025-12-13,2025-12-18,2025-12-22,Annual,1
99,70,00000000-0000-0000-0000-000000000000,2026-01-25,2026-01-25,2026-02-01,2026-02-10,Sick,1
100,282,00000000-0000-0000-0000-000000000000,2025-11-19,2025-11-19,2025-11-25,2025-11-27,Annual,1
101,406,00000000-0000-0000-0000-000000000000,2025-05-29,2025-05-29,2025-06-12,2025-06-15,Annual,1
102,1302,00000000-0000-0000-0000-000000000000,2025-01-07,2025-01-07,2025-01-20,2025-01-29,Annual,1
103,1114,00000000-0000-0000-0000-000000000000,2025-12-30,2025-12-30,2026-01-04,2026-01-10,Annual,0
104,32,00000000-0000-0000-0000-000000000000,2025-02-15,2025-02-15,2025-02-27,2025-02-27,Annual,1
105,1021,00000000-0000-0000-0000-000000000000,2025-07-17,2025-07-17,2025-07-22,2025-07-28,Sick,1
106,441,00000000-0000-0000-0000-000000000000,2026-02-24,2026-02-24,2026-03-05,2026-03-06,Maternity/Paternity,1
107,492,00000000-0000-0000-0000-000000000000,2025-02-19,2025-02-19,2025-03-02,2025-03-03,Annual,1
108,137,00000000-0000-0000-0000-000000000000,2025-06-15,2025-06-15,2025-06-19,2025-06-25,Annual,1
109,845,00000000-0000-0000-0000-000000000000,2026-03-09,2026-03-09,2026-03-21,2026-03-22,Annual,1
110,1059,00000000-0000-0000-0000-000000000000,2025-05-18,2025-05-18,2025-05-31,2025-06-07,Annual,1
111,790,00000000-0000-0000-0000-000000000000,2025-06-08,2025-06-08,2025-06-10,2025-06-10,Sick,1
112,1436,00000000-0000-0000-0000-000000000000,2025-10-30,2025-10-30,2025-11-13,2025-11-13,Unpaid,1
113,1464,00000000-0000-0000-0000-000000000000,2025-10-04,2025-10-04,2025-10-14,2025-10-21,Sick,2
114,942,00000000-0000-0000-0000-000000000000,2025-07-20,2025-07-20,2025-08-01,2025-08-08,Annual,1
115,1413,00000000-0000-0000-0000-000000000000,2025-03-12,2025-03-12,2025-03-25,2025-03-26,Unpaid,0
116,1119,00000000-0000-0000-0000-000000000000,2025-09-08,2025-09-08,2025-09-11,2025-09-17,Annual,1
117,866,00000000-0000-0000-0000-000000000000,2025-03-24,2025-03-24,2025-03-26,2025-03-28,Sick,1
118,38,00000000-0000-0000-0000-000000000000,2026-03-14,2026-03-14,2026-03-18,2026-03-23,Annual,0
119,829,00000000-0000-0000-0000-000000000000,2026-03-03,2026-03-03,2026-03-12,2026-03-16,Annual,1
120,605,00000000-0000-0000-0000-000000000000,2025-09-29,2025-09-29,2025-10-02,2025-10-10,Unpaid,1
121,105,00000000-0000-0000-0000-000000000000,2025-01-24,2025-01-24,2025-01-26,2025-01-31,Sick,0
122,759,00000000-0000-0000-0000-000000000000,2025-11-17,2025-11-17,2025-11-23,2025-12-02,Annual,1
123,1418,00000000-0000-0000-0000-000000000000,2025-09-12,2025-09-12,2025-09-17,2025-09-17,Annual,1
124,189,00000000-0000-0000-0000-000000000000,2025-09-01,2025-09-01,2025-09-12,2025-09-20,Annual,1
125,1424,00000000-0000-0000-0000-000000000000,2025-11-04,2025-11-04,2025-11-15,2025-11-16,Annual,1
126,186,00000000-0000-0000-0000-000000000000,2025-04-23,2025-04-23,2025-04-28,2025-05-02,Annual,1
127,857,00000000-0000-0000-0000-000000000000,2025-03-09,2025-03-09,2025-03-22,2025-03-22,Sick,1
128,1450,00000000-0000-0000-0000-000000000000,2025-11-28,2025-11-28,2025-12-04,2025-12-06,Sick,1
129,91,00000000-0000-0000-0000-000000000000,2025-12-17,2025-12-17,2025-12-29,2026-01-02,Annual,1
130,914,00000000-0000-0000-0000-000000000000,2025-04-09,2025-04-09,2025-04-23,2025-04-29,Sick,1
131,1094,00000000-0000-0000-0000-000000000000,2025-07-05,2025-07-05,2025-07-13,2025-07-20,Sick,1
132,614,00000000-0000-0000-0000-000000000000,2026-03-01,2026-03-01,2026-03-11,2026-03-18,Annual,1
133,385,00000000-0000-0000-0000-000000000000,2025-01-09,2025-01-09,2025-01-14,2025-01-15,Annual,1
134,1290,00000000-0000-0000-0000-000000000000,2025-10-03,2025-10-03,2025-10-09,2025-10-15,Annual,1
135,632,00000000-0000-0000-0000-000000000000,2025-01-27,2025-01-27,2025-02-10,2025-02-14,Maternity/Paternity,1
136,89,00000000-0000-0000-0000-000000000000,2025-07-04,2025-07-04,2025-07-07,2025-07-15,Annual,1
137,362,00000000-0000-0000-0000-000000000000,2025-03-22,2025-03-22,2025-03-29,2025-04-07,Annual,1
138,48,00000000-0000-0000-0000-000000000000,2025-05-15,2025-05-15,2025-05-28,2025-06-01,Annual,1
139,435,00000000-0000-0000-0000-000000000000,2025-07-13,2025-07-13,2025-07-20,2025-07-23,Annual,1
140,1399,00000000-0000-0000-0000-000000000000,2025-07-18,2025-07-18,2025-07-26,2025-07-29,Annual,1
141,508,00000000-0000-0000-0000-000000000000,2025-05-16,2025-05-16,2025-05-22,2025-05-22,Unpaid,1
142,1168,00000000-0000-0000-0000-000000000000,2025-05-07,2025-05-07,2025-05-09,2025-05-15,Annual,1
143,1055,00000000-0000-0000-0000-000000000000,2025-11-19,2025-11-19,2025-11-30,2025-12-03,Maternity/Paternity,1
144,371,00000000-0000-0000-0000-000000000000,2025-03-13,2025-03-13,2025-03-21,2025-03-27,Unpaid,1
145,303,00000000-0000-0000-0000-000000000000,2025-07-28,2025-07-28,2025-08-10,2025-08-14,Sick,1
146,1386,00000000-0000-0000-0000-000000000000,2025-11-14,2025-11-14,2025-11-17,2025-11-21,Sick,1
147,171,00000000-0000-0000-0000-000000000000,2025-07-03,2025-07-03,2025-07-06,2025-07-10,Sick,1
148,371,00000000-0000-0000-0000-000000000000,2025-08-29,2025-08-29,2025-09-09,2025-09-15,Sick,1
149,231,00000000-0000-0000-0000-000000000000,2025-05-20,2025-05-20,2025-05-28,2025-06-02,Annual,2
150,751,00000000-0000-0000-0000-000000000000,2025-01-11,2025-01-11,2025-01-20,2025-01-25,Unpaid,1
151,395,00000000-0000-0000-0000-000000000000,2026-02-07,2026-02-07,2026-02-12,2026-02-14,Annual,1
152,231,00000000-0000-0000-0000-000000000000,2025-10-08,2025-10-08,2025-10-12,2025-10-19,Annual,1
153,1000,00000000-0000-0000-0000-000000000000,2025-02-01,2025-02-01,2025-02-10,2025-02-17,Sick,1
154,620,00000000-0000-0000-0000-000000000000,2025-01-14,2025-01-14,2025-01-20,2025-01-24,Annual,1
155,839,00000000-0000-0000-0000-000000000000,2025-03-18,2025-03-18,2025-03-23,2025-03-23,Unpaid,1
156,76,00000000-0000-0000-0000-000000000000,2026-01-15,2026-01-15,2026-01-25,2026-01-25,Annual,1
157,305,00000000-0000-0000-0000-000000000000,2025-05-04,2025-05-04,2025-05-13,2025-05-19,Maternity/Paternity,1
158,36,00000000-0000-0000-0000-000000000000,2025-01-25,2025-01-25,2025-02-03,2025-02-11,Annual,1
159,715,00000000-0000-0000-0000-000000000000,2025-11-20,2025-11-20,2025-11-23,2025-12-01,Sick,1
160,1377,00000000-0000-0000-0000-000000000000,2025-10-10,2025-10-10,2025-10-18,2025-10-23,Annual,1
161,460,00000000-0000-0000-0000-000000000000,2026-02-28,2026-02-28,2026-03-03,2026-03-04,Unpaid,2
162,481,00000000-0000-0000-0000-000000000000,2025-03-06,2025-03-06,2025-03-13,2025-03-17,Annual,0
163,189,00000000-0000-0000-0000-000000000000,2025-08-23,2025-08-23,2025-08-27,2025-09-01,Annual,1
164,1232,00000000-0000-0000-0000-000000000000,2026-03-15,2026-03-15,2026-03-21,2026-03-21,Annual,1
165,1311,00000000-0000-0000-0000-000000000000,2025-05-14,2025-05-14,2025-05-20,2025-05-21,Annual,1
166,681,00000000-0000-0000-0000-000000000000,2025-04-19,2025-04-19,2025-04-27,2025-05-01,Sick,0
167,1166,00000000-0000-0000-0000-000000000000,2025-03-07,2025-03-07,2025-03-14,2025-03-19,Annual,1
168,642,00000000-0000-0000-0000-000000000000,2025-05-20,2025-05-20,2025-05-23,2025-05-29,Maternity/Paternity,0
169,1043,00000000-0000-0000-0000-000000000000,2025-10-31,2025-10-31,2025-11-04,2025-11-06,Annual,1
170,1452,00000000-0000-0000-0000-000000000000,2025-05-28,2025-05-28,2025-06-08,2025-06-10,Sick,1
171,1353,00000000-0000-0000-0000-000000000000,2026-03-08,2026-03-08,2026-03-22,2026-03-30,Sick,1
172,510,00000000-0000-0000-0000-000000000000,2025-11-13,2025-11-13,2025-11-24,2025-11-27,Annual,1
173,38,00000000-0000-0000-0000-000000000000,2025-10-15,2025-10-15,2025-10-18,2025-10-21,Sick,1
174,216,00000000-0000-0000-0000-000000000000,2025-08-15,2025-08-15,2025-08-17,2025-08-17,Annual,1
175,780,00000000-0000-0000-0000-000000000000,2025-07-28,2025-07-28,2025-08-07,2025-08-07,Sick,1
176,703,00000000-0000-0000-0000-000000000000,2026-02-27,2026-02-27,2026-03-11,2026-03-12,Sick,1
177,1402,00000000-0000-0000-0000-000000000000,2025-10-11,2025-10-11,2025-10-19,2025-10-26,Annual,1
178,568,00000000-0000-0000-0000-000000000000,2026-01-02,2026-01-02,2026-01-15,2026-01-23,Unpaid,1
179,780,00000000-0000-0000-0000-000000000000,2025-11-01,2025-11-01,2025-11-04,2025-11-12,Sick,1
180,1062,00000000-0000-0000-0000-000000000000,2026-03-13,2026-03-13,2026-03-27,2026-04-03,Annual,1
181,898,00000000-0000-0000-0000-000000000000,2025-03-03,2025-03-03,2025-03-16,2025-03-17,Unpaid,1
182,789,00000000-0000-0000-0000-000000000000,2025-03-09,2025-03-09,2025-03-13,2025-03-13,Unpaid,1
183,871,00000000-0000-0000-0000-000000000000,2025-12-11,2025-12-11,2025-12-18,2025-12-24,Annual,1
184,25,00000000-0000-0000-0000-000000000000,2025-10-07,2025-10-07,2025-10-16,2025-10-21,Annual,2
185,352,00000000-0000-0000-0000-000000000000,2025-09-12,2025-09-12,2025-09-25,2025-09-26,Unpaid,1
186,1048,00000000-0000-0000-0000-000000000000,2025-02-18,2025-02-18,2025-02-21,2025-02-23,Annual,0
187,994,00000000-0000-0000-0000-000000000000,2025-01-09,2025-01-09,2025-01-15,2025-01-21,Annual,1
188,1459,00000000-0000-0000-0000-000000000000,2025-10-28,2025-10-28,2025-10-31,2025-11-07,Annual,1
189,1301,00000000-0000-0000-0000-000000000000,2025-12-26,2025-12-26,2025-12-28,2026-01-05,Annual,1
190,639,00000000-0000-0000-0000-000000000000,2025-11-24,2025-11-24,2025-11-30,2025-12-06,Unpaid,0
191,1409,00000000-0000-0000-0000-000000000000,2025-06-27,2025-06-27,2025-06-29,2025-06-29,Annual,1
192,779,00000000-0000-0000-0000-000000000000,2025-04-23,2025-04-23,2025-05-07,2025-05-16,Annual,1
193,1187,00000000-0000-0000-0000-000000000000,2026-01-16,2026-01-16,2026-01-18,2026-01-24,Annual,1
194,324,00000000-0000-0000-0000-000000000000,2025-01-11,2025-01-11,2025-01-20,2025-01-23,Annual,1
195,130,00000000-0000-0000-0000-000000000000,2025-03-24,2025-03-24,2025-04-03,2025-04-12,Annual,0
196,1356,00000000-0000-0000-0000-000000000000,2025-05-18,2025-05-18,2025-05-20,2025-05-21,Annual,0
197,976,00000000-0000-0000-0000-000000000000,2026-02-05,2026-02-05,2026-02-18,2026-02-22,Annual,1
198,1088,00000000-0000-0000-0000-000000000000,2026-03-09,2026-03-09,2026-03-14,2026-03-20,Sick,1
199,224,00000000-0000-0000-0000-000000000000,2025-06-06,2025-06-06,2025-06-17,2025-06-26,Maternity/Paternity,1
200,568,00000000-0000-0000-0000-000000000000,2025-02-04,2025-02-04,2025-02-07,2025-02-15,Annual,1
201,1243,00000000-0000-0000-0000-000000000000,2025-04-22,2025-04-22,2025-04-26,2025-04-30,Annual,1
202,670,00000000-0000-0000-0000-000000000000,2026-02-04,2026-02-04,2026-02-12,2026-02-21,Annual,1
203,1192,00000000-0000-0000-0000-000000000000,2025-04-01,2025-04-01,2025-04-03,2025-04-12,Sick,1
204,1228,00000000-0000-0000-0000-000000000000,2025-03-15,2025-03-15,2025-03-21,2025-03-26,Annual,2
205,288,00000000-0000-0000-0000-000000000000,2025-02-14,2025-02-14,2025-02-23,2025-02-25,Maternity/Paternity,1
206,404,00000000-0000-0000-0000-000000000000,2025-09-23,2025-09-23,2025-10-06,2025-10-14,Maternity/Paternity,1
207,1203,00000000-0000-0000-0000-000000000000,2026-01-01,2026-01-01,2026-01-05,2026-01-12,Annual,1
208,1197,00000000-0000-0000-0000-000000000000,2025-12-25,2025-12-25,2026-01-03,2026-01-04,Annual,1
209,965,00000000-0000-0000-0000-000000000000,2026-03-05,2026-03-05,2026-03-15,2026-03-16,Annual,1
210,308,00000000-0000-0000-0000-000000000000,2026-03-22,2026-03-22,2026-04-03,2026-04-03,Annual,1
211,255,00000000-0000-0000-0000-000000000000,2025-01-11,2025-01-11,2025-01-23,2025-01-29,Annual,1
212,1384,00000000-0000-0000-0000-000000000000,2025-01-20,2025-01-20,2025-01-23,2025-01-25,Annual,1
213,1065,00000000-0000-0000-0000-000000000000,2025-12-13,2025-12-13,2025-12-19,2025-12-20,Sick,1
214,347,00000000-0000-0000-0000-000000000000,2025-07-25,2025-07-25,2025-08-07,2025-08-09,Annual,1
215,885,00000000-0000-0000-0000-000000000000,2025-09-10,2025-09-10,2025-09-13,2025-09-22,Annual,1
216,765,00000000-0000-0000-0000-000000000000,2025-12-09,2025-12-09,2025-12-19,2025-12-25,Sick,1
217,1045,00000000-0000-0000-0000-000000000000,2025-09-01,2025-09-01,2025-09-07,2025-09-09,Annual,1
218,744,00000000-0000-0000-0000-000000000000,2025-10-04,2025-10-04,2025-10-13,2025-10-22,Annual,2
219,276,00000000-0000-0000-0000-000000000000,2025-06-20,2025-06-20,2025-06-30,2025-07-07,Annual,1
220,871,00000000-0000-0000-0000-000000000000,2025-10-20,2025-10-20,2025-10-30,2025-11-01,Annual,1
221,1025,00000000-0000-0000-0000-000000000000,2025-07-29,2025-07-29,2025-08-11,2025-08-12,Unpaid,1
222,988,00000000-0000-0000-0000-000000000000,2025-04-02,2025-04-02,2025-04-09,2025-04-15,Annual,1
223,275,00000000-0000-0000-0000-000000000000,2025-07-24,2025-07-24,2025-08-05,2025-08-10,Annual,1
224,779,00000000-0000-0000-0000-000000000000,2025-03-24,2025-03-24,2025-04-03,2025-04-05,Maternity/Paternity,1
225,474,00000000-0000-0000-0000-000000000000,2025-11-22,2025-11-22,2025-12-02,2025-12-08,Annual,1
226,320,00000000-0000-0000-0000-000000000000,2025-08-26,2025-08-26,2025-09-07,2025-09-16,Annual,1
227,510,00000000-0000-0000-0000-000000000000,2025-05-22,2025-05-22,2025-05-25,2025-05-31,Annual,1
228,285,00000000-0000-0000-0000-000000000000,2025-06-18,2025-06-18,2025-07-02,2025-07-09,Annual,1
229,184,00000000-0000-0000-0000-000000000000,2026-02-14,2026-02-14,2026-02-22,2026-02-24,Sick,1
230,144,00000000-0000-0000-0000-000000000000,2025-02-03,2025-02-03,2025-02-16,2025-02-23,Annual,1
231,363,00000000-0000-0000-0000-000000000000,2025-04-22,2025-04-22,2025-05-01,2025-05-07,Annual,1
232,856,00000000-0000-0000-0000-000000000000,2025-05-27,2025-05-27,2025-06-06,2025-06-11,Sick,1
233,1023,00000000-0000-0000-0000-000000000000,2026-01-21,2026-01-21,2026-01-31,2026-02-09,Sick,1
234,388,00000000-0000-0000-0000-000000000000,2025-10-14,2025-10-14,2025-10-23,2025-10-24,Maternity/Paternity,2
235,495,00000000-0000-0000-0000-000000000000,2025-07-16,2025-07-16,2025-07-18,2025-07-27,Annual,1
236,711,00000000-0000-0000-0000-000000000000,2025-11-15,2025-11-15,2025-11-18,2025-11-20,Annual,1
237,43,00000000-0000-0000-0000-000000000000,2025-10-16,2025-10-16,2025-10-21,2025-10-30,Annual,0
238,246,00000000-0000-0000-0000-000000000000,2025-11-06,2025-11-06,2025-11-08,2025-11-09,Annual,1
239,255,00000000-0000-0000-0000-000000000000,2026-01-23,2026-01-23,2026-01-31,2026-02-08,Annual,1
240,241,00000000-0000-0000-0000-000000000000,2025-05-21,2025-05-21,2025-06-01,2025-06-09,Annual,1
241,859,00000000-0000-0000-0000-000000000000,2025-08-06,2025-08-06,2025-08-13,2025-08-20,Annual,1
242,685,00000000-0000-0000-0000-000000000000,2025-08-15,2025-08-15,2025-08-22,2025-08-24,Sick,1
243,769,00000000-0000-0000-0000-000000000000,2025-01-13,2025-01-13,2025-01-15,2025-01-23,Annual,1
244,975,00000000-0000-0000-0000-000000000000,2025-05-03,2025-05-03,2025-05-10,2025-05-13,Annual,1
